"","treated1fb","treated2fb","treated3fb","untreated1fb","untreated2fb","untreated3fb","untreated4fb"
"FBgn0000008",7.71425901198312,7.79146366337176,7.98371652613781,7.814466451671,7.76663886069627,7.96883813372591,7.74863136170349
"FBgn0000017",12.0429064863177,12.2971223525427,12.4748634500941,12.0869579728909,11.9674482329663,12.0349853439153,12.0295266184907
"FBgn0000018",9.36279962700625,9.1674083935649,9.04652436088462,9.13343522452975,9.22227597945455,9.08129487071297,9.02162014921817
"FBgn0000032",10.466556635104,10.1200197895931,10.1158066866409,10.0342751710396,10.237960526565,10.0624815198357,10.0602948890793
"FBgn0000042",16.4361743002347,16.0396640133016,16.1234116720203,16.1144945146735,16.2712991842166,16.6121746295191,16.6165013260028
"FBgn0000043",14.8356928208969,14.4990956728584,14.6102811165926,14.5857781645201,15.0908044506683,15.3393070826925,15.3438703525989
"FBgn0000052",11.447493844396,11.0792835445819,11.3877249296121,11.4225507046326,11.0509339821481,11.3333407632001,11.2669851295451
"FBgn0000053",11.0492178777283,10.7885184317118,11.0676724889582,11.1379043559118,11.0908902071012,11.4127552498263,11.3739018609818
"FBgn0000054",9.81730124725989,9.59547485182324,9.72081274939594,9.64727718240252,9.5783784492194,9.60101626717645,9.64001718605996
"FBgn0000057",9.73794090798519,9.62984539331127,9.72081274939594,9.76552146864983,9.56530951659955,9.78149742457761,9.75426398876591
"FBgn0000063",9.12017425260402,9.12527183013149,8.93361693937478,8.98240232243245,9.2419552538843,9.21752928172773,9.16485203075182
"FBgn0000064",12.7563804377658,12.789073212557,12.9542395743738,12.8819745833244,13.0117265880995,13.18027072886,13.2430721861286
"FBgn0000071",7.64178953755571,7.91445785416552,7.96387260430324,8.01142838630041,9.55932883238949,9.68950200153156,9.76439082984625
"FBgn0000077",8.60575890538824,8.49762506505093,8.39702534491594,8.62356881796032,8.45576544901533,8.49552337566566,8.5701265639623
"FBgn0000079",8.03487942658435,8.12722967240188,8.79498406952722,8.64871709688686,7.44684530064843,7.9518452892285,8.07339077148847
"FBgn0000083",12.4550074204846,12.2595951136027,12.490519522524,12.5978435821224,12.2108299502891,12.5438231635017,12.5823510584632
"FBgn0000084",10.7868716826303,10.6669547193154,11.06976094707,11.0857948332646,10.4529955834903,10.931193571517,10.9165303145262
"FBgn0000097",11.4636074579325,11.7672735923991,11.8109468955643,11.508148084243,11.7295031009851,11.659118721261,11.5847735609101
"FBgn0000100",14.5743406697612,14.6063362981667,14.745991348388,14.8896643343586,14.3237866261759,14.696197222057,14.6225620916528
